                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.310949       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.88907513454688e-03
 9.83104025075009e-01 -5.21545199676032e-03
 9.66073391202623e-01 -2.36214976087800e-03
 9.48931770646001e-01 -3.86625481562468e-04
 9.31744033278018e-01  7.49605020734756e-04
 9.14551998629040e-01  1.07282174649526e-03
 8.97387029505943e-01  8.35861398522123e-04
 8.80288044338682e-01 -1.32677477093268e-05
 8.63282387256481e-01 -1.52956488591048e-03
 8.46390868109749e-01 -3.60298086673725e-03
 8.29636900027310e-01 -6.09827978929188e-03
 8.13030021224860e-01 -9.24942558963478e-03
 7.96589768796928e-01 -1.28151858287281e-02
 7.80325472064671e-01 -1.68236736279760e-02
 7.64257324110798e-01 -2.12224699037902e-02
 7.48377802868064e-01 -2.59824307458277e-02
 7.32682015263491e-01 -3.09888421834796e-02
 7.17169196264236e-01 -3.62462127927400e-02
 7.01836737835447e-01 -4.16812860009779e-02
 6.86682238796080e-01 -4.72924522857811e-02
 6.71685409072262e-01 -5.29843868438855e-02
 6.56851468244733e-01 -5.87620792031956e-02
 6.42157491087697e-01 -6.45510970101889e-02
 6.27600211992088e-01 -7.03269165109283e-02
 6.13175220581226e-01 -7.60687168379107e-02
 5.98861123878273e-01 -8.17109915016476e-02
 5.84665945592418e-01 -8.72628809395340e-02
 5.70574121589730e-01 -9.26691581177631e-02
 5.56581319771219e-01 -9.79126586741190e-02
 5.42692273510546e-01 -1.02991803189213e-01
 5.28896040902122e-01 -1.07852271300077e-01
 5.15199183740536e-01 -1.12520712506210e-01
 5.01601668779023e-01 -1.16962392328350e-01
 4.88102739976588e-01 -1.21155973981155e-01
 4.74707459400100e-01 -1.25127319248026e-01
 4.61419868818821e-01 -1.28835272876256e-01
 4.48240817265913e-01 -1.32557292238892e-01
 4.35176976209344e-01 -1.36126576054185e-01
 4.22237045080858e-01 -1.39359370375310e-01
 4.09422778057258e-01 -1.42310364276840e-01
 3.96740713119393e-01 -1.44970262151870e-01
 3.84201007836660e-01 -1.47317267636935e-01
 3.71802537831699e-01 -1.49424763261688e-01
 3.59554810125070e-01 -1.51264430693994e-01
 3.47466041176260e-01 -1.52813501258679e-01
 3.35534574096155e-01 -1.54197620269176e-01
 3.23770659024997e-01 -1.55351958996631e-01
 3.12181375051158e-01 -1.56103494636161e-01
 3.00764184143944e-01 -1.56475795430102e-01
 2.89529506052333e-01 -1.56609939455199e-01
 2.78482107645392e-01 -1.56451850361494e-01
 2.67619402937882e-01 -1.56068220877806e-01
 2.56951499539042e-01 -1.55527762567699e-01
