                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.40505068823504e-03
 9.83160180507495e-01 -4.82939401744248e-03
 9.66197461293522e-01 -2.04311483470591e-03
 9.49129984010024e-01 -9.39172520720850e-05
 9.32017453941136e-01  1.04713408751407e-03
 9.14900004004728e-01  1.37793312256926e-03
 8.97807841726061e-01  1.17784725625350e-03
 8.80779658297351e-01  3.76538981621299e-04
 8.63842013995558e-01 -1.09423432870978e-03
 8.47014799958908e-01 -3.11863235063255e-03
 8.30322292930709e-01 -5.55764160132757e-03
 8.13773129096173e-01 -8.64143077528906e-03
 7.97387996058740e-01 -1.21349740432686e-02
 7.81175215450999e-01 -1.60703208548685e-02
 7.65156798219564e-01 -2.03959852093611e-02
 7.49324630957309e-01 -2.50860470567503e-02
 7.33674167252711e-01 -3.00205669104900e-02
 7.18205094055725e-01 -3.52096971508235e-02
 7.02915044670514e-01 -4.05765875242468e-02
 6.87802981075437e-01 -4.61264193820246e-02
 6.72847812525762e-01 -5.17587449939073e-02
 6.58056326453500e-01 -5.74837724865628e-02
 6.43404676774537e-01 -6.32239955998753e-02
 6.28890198281788e-01 -6.89561987071492e-02
 6.14508270003974e-01 -7.46591446618826e-02
 6.00236084614559e-01 -8.02633452513003e-02
 5.86084093385945e-01 -8.57850660246852e-02
 5.72034602195397e-01 -9.11625439724723e-02
 5.58083956051757e-01 -9.63815240602002e-02
 5.44236900156951e-01 -1.01440277712235e-01
 5.30481559648979e-01 -1.06280630883955e-01
 5.16824699179727e-01 -1.10932419680007e-01
 5.03266297674971e-01 -1.15359483005970e-01
 4.89804949882023e-01 -1.19536768758163e-01
 4.76446173985489e-01 -1.23497140908670e-01
 4.63193763331591e-01 -1.27191650960847e-01
 4.50048835245750e-01 -1.30883900844809e-01
 4.37017484601684e-01 -1.34418860121327e-01
 4.24108845994432e-01 -1.37617270130885e-01
 4.11323973978973e-01 -1.40541065327979e-01
 3.98669662425583e-01 -1.43178933451630e-01
 3.86156039004958e-01 -1.45493976725422e-01
 3.73781513327218e-01 -1.47575303991690e-01
 3.61555672698165e-01 -1.49380831239517e-01
 3.49487182536319e-01 -1.50880214225481e-01
 3.37573447557836e-01 -1.52209681369156e-01
 3.25825348347669e-01 -1.53275059479286e-01
 3.14250110571783e-01 -1.53967307914407e-01
 3.02844399599992e-01 -1.54395961982603e-01
 2.91619286179689e-01 -1.54588826397035e-01
 2.80579614041242e-01 -1.54481081263729e-01
 2.69721940658269e-01 -1.54151832554680e-01
 2.59057276719674e-01 -1.53679773046575e-01
 2.48588906376049e-01 -1.53017618014630e-01
 2.38312658770811e-01 -1.52048481649550e-01
 2.28239848710858e-01 -1.50895855489739e-01
 2.18372901130467e-01 -1.49595211069220e-01
 2.08706460069332e-01 -1.48058145744927e-01
 1.99251139929752e-01 -1.46354728983297e-01
 1.90009171124407e-01 -1.44505512224885e-01
 1.80973415475318e-01 -1.42455878247612e-01
 1.72155205173494e-01 -1.40250819092846e-01
 1.63558863477167e-01 -1.37907984401224e-01
 1.55173956163188e-01 -1.35390538567504e-01
 1.47009407141347e-01 -1.32734120532159e-01
 1.39069910706351e-01 -1.29964280772048e-01
 1.31343434857591e-01 -1.27049016064575e-01
 1.23837376413521e-01 -1.24013208897598e-01
 1.16559435257949e-01 -1.20876020371792e-01
 1.09495965363653e-01 -1.17619040900786e-01
 1.02651255947528e-01 -1.14254893995680e-01
 9.60336374824309e-02 -1.10806163814835e-01
 8.96305881475271e-02 -1.07264446453434e-01
 8.34414351867985e-02 -1.03633338854370e-01
 7.74755082176171e-02 -9.99328143795128e-02
 7.17244923578567e-02 -9.61691260156997e-02
 6.61791144283612e-02 -9.23379227173066e-02
 6.08522718915801e-02 -8.84517249527649e-02
 5.57450752865967e-02 -8.46122431185357e-02
 5.08382957026697e-02 -8.07823879464834e-02
 4.61445921267029e-02 -7.69106293033152e-02
 4.16731957033935e-02 -7.30090927133298e-02
 3.73983572962939e-02 -6.90674270467134e-02
 3.33343441049853e-02 -6.50920363275903e-02
 2.95007818864099e-02 -6.10944745239076e-02
 2.58648405412292e-02 -5.70688184264871e-02
 2.24351413889948e-02 -5.30168357166562e-02
 1.92509659006943e-02 -4.89476029145291e-02
 1.62775504810518e-02 -4.48574674531805e-02
 1.35172828967354e-02 -4.07454865912751e-02
 1.10290462915252e-02 -3.66230948388535e-02
 8.78597146347438e-03 -3.24881373597668e-02
 6.75006705380240e-03 -2.83398838934922e-02
 5.02339261367646e-03 -2.42023475005647e-02
 3.55796323450096e-03 -2.00754576463107e-02
 2.27211743669570e-03 -1.59579960305128e-02
 1.32093895442084e-03 -1.18861577217646e-02
 6.93971158709764e-04 -7.86556380054806e-03
 2.04955360461766e-04 -3.88804199519100e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.16046216265365e-04  3.97848771322136e-03
 4.40829519641154e-04  8.11255209215097e-03
 9.08561603200131e-04  1.22052250183705e-02
 1.49808839581176e-03  1.62394049352732e-02
 2.46063380530280e-03  2.03232235854894e-02
 3.73941514236982e-03  2.44585011784376e-02
 5.17396667955975e-03  2.86458186420983e-02
 6.86931529847680e-03  3.28985312891241e-02
 8.86248984462372e-03  3.71666525763603e-02
 1.10645815541226e-02  4.14278450970344e-02
 1.34999129377827e-02  4.56847998949345e-02
 1.62139576304289e-02  4.99375273849631e-02
 1.91462520586550e-02  5.41643250881673e-02
 2.23015884015890e-02  5.83817037770065e-02
 2.57174830789729e-02  6.26318762271446e-02
 2.93554631634381e-02  6.68640394917845e-02
 3.31986264860621e-02  7.10712934065805e-02
 3.72866941404277e-02  7.52561144017363e-02
 4.15991080516895e-02  7.94049262742381e-02
 4.61184714320775e-02  8.35043509542159e-02
 5.08763136679192e-02  8.75611975361628e-02
 5.58616604013059e-02  9.15639539816214e-02
 6.10544729943166e-02  9.54996735946970e-02
 6.64781544829062e-02  9.93719722707994e-02
 7.21296615801283e-02  1.03173675789470e-01
 7.79920197985771e-02  1.06887109451708e-01
 8.40788677857273e-02  1.10516063284818e-01
 9.03940194158627e-02  1.14056738688591e-01
 9.69243236276427e-02  1.17483886027857e-01
 1.03674507158041e-01  1.20798246701235e-01
 1.10654155102263e-01  1.24006391634199e-01
 1.17849652095837e-01  1.27082379724662e-01
 1.25258793802164e-01  1.30019026855598e-01
 1.32894107454804e-01  1.32835675237920e-01
 1.40744234218204e-01  1.35498899242755e-01
 1.48802248736935e-01  1.37995932922977e-01
 1.57080236170871e-01  1.40362831468080e-01
 1.65568594891222e-01  1.42563146098137e-01
 1.74258654138448e-01  1.44574420756675e-01
 1.83161465877891e-01  1.46443865258050e-01
 1.92269052985178e-01  1.48129223775690e-01
 2.01571409331885e-01  1.49600493605669e-01
 2.11077651254637e-01  1.50924820588235e-01
 2.20780518302525e-01  1.52064300875547e-01
 2.30670042715542e-01  1.52977260920239e-01
 2.40752576958537e-01  1.53774775234853e-01
 2.51023377642645e-01  1.54376293444296e-01
 2.61474475664479e-01  1.54686390117889e-01
 2.72110419466573e-01  1.54867299903430e-01
 2.82926997385591e-01  1.54772701350451e-01
 2.93917793200875e-01  1.54556918242886e-01
 3.05085561468214e-01  1.54107092490605e-01
 3.16427007514394e-01  1.53492771195760e-01
 3.27937511797475e-01  1.52800708733580e-01
 3.39618560308123e-01  1.51903478212909e-01
 3.51466886677602e-01  1.50842082027499e-01
 3.63478837962201e-01  1.49669657909665e-01
 3.75654724155638e-01  1.48311207887782e-01
 3.87991686266598e-01  1.46804763468926e-01
 4.00487072833856e-01  1.45171784346528e-01
 4.13139964378547e-01  1.43371423450318e-01
 4.25947905503090e-01  1.41438487195674e-01
 4.38908785998406e-01  1.39374993503360e-01
 4.52020512730874e-01  1.37162570618274e-01
 4.65280774077272e-01  1.34831653329737e-01
 4.78686466688181e-01  1.32362787080334e-01
 4.92236097125752e-01  1.29764945488394e-01
 5.05928542446150e-01  1.27207205601388e-01
 5.19760296038028e-01  1.24567897591443e-01
 5.33730340822019e-01  1.21826313923159e-01
 5.47836432542425e-01  1.18990002694452e-01
 5.62074802667819e-01  1.16050695770954e-01
 5.76443173728635e-01  1.13021684278498e-01
 5.90937351165379e-01  1.09895563781807e-01
 6.05555013488758e-01  1.06681347023761e-01
 6.20293171217309e-01  1.03385054210785e-01
 6.35147888588723e-01  1.00005215796554e-01
 6.50115284485077e-01  9.65465682936231e-02
 6.65190987771973e-01  9.30074025641447e-02
 6.80372417082273e-01  8.93979218061166e-02
 6.95655106962777e-01  8.57190406305470e-02
 7.11035392169268e-01  8.19758610004787e-02
 7.26509105756086e-01  7.81728445359194e-02
 7.42071821205483e-01  7.43120732773368e-02
 7.57721683710670e-01  7.04084629554538e-02
 7.73453370463427e-01  6.64620160864692e-02
 7.89264628369205e-01  6.24861524982091e-02
 8.05150047197123e-01  5.84819748604852e-02
 8.21105233779442e-01  5.44550155405414e-02
 8.37125351001810e-01  5.04094434715471e-02
 8.53208406708395e-01  4.63610761251698e-02
 8.69350054081428e-01  4.23172634239384e-02
