------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -2.543927327896768e-01  1.200002806121996e+01  4.600000000000000e+00        1
 9.675500000000001e-01 -4.295898964924937e-03  0.000000000000000e+00 -2.977971252326477e-01  1.200235736363123e+01  4.594346889937217e+00        2
 2.902650000000000e+00 -1.508657253685630e-02  0.000000000000000e+00 -3.383030076228720e-01  1.191997717665192e+01  4.623659815119714e+00        3
 4.837750000000000e+00 -2.714736731953963e-02  0.000000000000000e+00 -3.863876068001529e-01  1.168860182664633e+01  4.704449096720253e+00        4
 8.345118750000001e+00 -5.178886638840322e-02  0.000000000000000e+00 -4.259998059611920e-01  1.096606943007191e+01  4.947346782558884e+00        5
 1.185248750000000e+01 -7.930215615391135e-02  0.000000000000000e+00 -4.660672286293249e-01  9.972558688263007e+00  5.260265697481419e+00        6
 1.535985625000000e+01 -1.088489716788122e-01  0.000000000000000e+00 -4.924406057638880e-01  8.848876875180325e+00  5.579350003644048e+00        7
 1.886722500000000e+01 -1.395910480258541e-01  0.000000000000000e+00 -5.051069761202011e-01  7.735831264784563e+00  5.840743863202954e+00        8
 2.341471000000000e+01 -1.798578689389054e-01  0.000000000000000e+00 -5.023514301540756e-01  6.538901378790676e+00  5.989298952914606e+00        9
 2.717202916666666e+01 -2.124040341643965e-01  0.000000000000000e+00 -5.047631454046715e-01  5.764784694697947e+00  5.873878434525766e+00       10
 3.092934833333333e+01 -2.460593142955133e-01  0.000000000000000e+00 -5.450827773531426e-01  5.034164460061651e+00  5.590638405367346e+00       11
 3.468666750000000e+01 -2.838933861090778e-01  0.000000000000000e+00 -6.321678256681483e-01  4.336870415082649e+00  5.234111154451489e+00       12
 3.844398666666666e+01 -3.289697176791892e-01  0.000000000000000e+00 -7.587817435340590e-01  3.662955217609717e+00  4.898056198501918e+00       13
 4.220130583333333e+01 -3.834086340852469e-01  0.000000000000000e+00 -9.154999655340497e-01  3.026535608122838e+00  4.565746446022453e+00       14
 4.595862500000000e+01 -4.490371721118965e-01  0.000000000000000e+00 -1.052236836376876e+00  2.419788614649522e+00  4.206823850966255e+00       15
 4.789372500000000e+01 -4.879440203491372e-01  0.000000000000000e+00 -1.285588349366290e+00  2.108979099803496e+00  4.021083585516117e+00       16
 5.224770000000000e+01 -5.901380213914410e-01  0.000000000000000e+00 -1.555008632108481e+00  1.387670833385722e+00  3.626055704140474e+00       17
 5.660167499999999e+01 -7.242489499971035e-01  0.000000000000000e+00 -1.989269629281710e+00  5.856828084569758e-01  3.268040010573062e+00       18
 5.982684166666666e+01 -8.532276871219348e-01  0.000000000000000e+00 -2.510380347244443e+00 -4.719112789768612e-02  3.012256320441719e+00       19
 6.305200833333333e+01 -1.006776036281496e+00  0.000000000000000e+00 -2.941346832998788e+00 -6.614647166606574e-01  2.770976566861458e+00       20
 6.627717500000000e+01 -1.184217776446788e+00  0.000000000000000e+00 -3.420558180437919e+00 -1.210585558742219e+00  2.550280652161161e+00       21
 6.959448928571429e+01 -1.397130192828792e+00  0.000000000000000e+00 -4.135645343250505e+00 -1.706467378062453e+00  2.355125075107463e+00       22
 7.291180357142858e+01 -1.662693700134397e+00  0.000000000000000e+00 -5.089148521592742e+00 -2.224860145829120e+00  2.195998184897652e+00       23
 7.622911785714285e+01 -1.985659239698419e+00  0.000000000000000e+00 -6.112454834199173e+00 -2.687705159009335e+00  2.045953243316730e+00       24
 7.954643214285714e+01 -2.369150382722488e+00  0.000000000000000e+00 -7.221381608053112e+00 -3.002886507738621e+00  1.876252769515181e+00       25
 8.286374642857143e+01 -2.819655017935220e+00  0.000000000000000e+00 -9.073226474590962e+00 -3.076656060817936e+00  1.658111564505056e+00       26
 8.618106071428572e+01 -3.415409050499647e+00  0.000000000000000e+00 -1.170999190376585e+01 -2.811674339451158e+00  1.371613426262289e+00       27
 8.949837500000000e+01 -4.166206365086667e+00  0.000000000000000e+00 -1.429378973081354e+01 -2.223540274204114e+00  1.023064446119299e+00       28
 9.312668750000000e+01 -5.130242491227337e+00  0.000000000000000e+00 -1.632715344647887e+01 -1.265299893014161e+00  5.833868483796242e-01       29
 9.675500000000000e+01 -6.206200000000000e+00  0.000000000000000e+00 -1.725019851196263e+01 -3.724225668350378e-02  9.620000000000006e-02       30
