------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.453075269025810e-01  1.449984292137574e+01  4.601560000000000e+00        1
 9.675525206533435e-01  4.142489951027064e-03  0.000000000000000e+00  2.939280059060891e-01  1.422826092648373e+01  4.601560000000000e+00        2
 2.902657561960031e+00  1.489060126438519e-02  0.000000000000000e+00  3.456467752479890e-01  1.382161000709112e+01  4.636507458078326e+00        3
 4.837762603266718e+00  2.749006514697355e-02  0.000000000000000e+00  4.060699393503092e-01  1.349232687840205e+01  4.728542910647571e+00        4
 8.345140490635089e+00  5.346255595728504e-02  0.000000000000000e+00  4.370849227116406e-01  1.294126878270434e+01  4.978639617815303e+00        5
 1.185251837800346e+01  8.100210868078725e-02  0.000000000000000e+00  4.531378598131905e-01  1.221242916654281e+01  5.238784940268719e+00        6
 1.535989626537183e+01  1.089399106500463e-01  0.000000000000000e+00  4.708577969447221e-01  1.077123786984578e+01  5.502665075852684e+00        7
 1.886727415274020e+01  1.386488550982570e-01  0.000000000000000e+00  5.046428355179021e-01  8.691706171793792e+00  5.795569406045392e+00        8
 2.341477099981092e+01  1.798837446533082e-01  0.000000000000000e+00  5.207837345181722e-01  6.536036515708870e+00  5.990428048513889e+00        9
 2.717209995501473e+01  2.141336234263148e-01  0.000000000000000e+00  5.214663113384540e-01  5.623815834427035e+00  5.887565275540084e+00       10
 3.092942891021855e+01  2.482759870795041e-01  0.000000000000000e+00  5.438753177484610e-01  4.912815350049454e+00  5.624213305378605e+00       11
 3.468675786542236e+01  2.854648037694940e-01  0.000000000000000e+00  6.143820489942317e-01  4.315087371318794e+00  5.268226661169356e+00       12
 3.844408682062618e+01  3.288540416529019e-01  0.000000000000000e+00  7.331712501603284e-01  3.742684206977721e+00  4.887459866052241e+00       13
 4.220141577583000e+01  3.816216380757497e-01  0.000000000000000e+00  9.124512487684652e-01  3.108563265487740e+00  4.548712434428961e+00       14
 4.595874473103382e+01  4.485220037165822e-01  0.000000000000000e+00  1.085693284965118e+00  2.421887138549629e+00  4.221359355362678e+00       15
 4.789384977234051e+01  4.894806737073221e-01  0.000000000000000e+00  1.369531034869689e+00  2.065923341091290e+00  4.044140279629959e+00       16
 5.224783611528056e+01  5.988347449435574e-01  0.000000000000000e+00  1.605857639901592e+00  1.270790909813529e+00  3.641375974781918e+00       17
 5.660182245822060e+01  7.335114531674599e-01  0.000000000000000e+00  1.904290537952728e+00  5.005835409843795e-01  3.258595329545345e+00       18
 5.982699752706507e+01  8.506904388761982e-01  0.000000000000000e+00  2.309093682515952e+00 -4.164456133046415e-02  3.006408442314949e+00       19
 6.305217259590957e+01  9.933985040340952e-01  0.000000000000000e+00  2.887780312345675e+00 -6.141327958915750e-01  2.791003149123290e+00       20
 6.627734766475405e+01  1.175658680646434e+00  0.000000000000000e+00  3.607778111637600e+00 -1.250114189061938e+00  2.602517019857459e+00       21
 6.959467059270835e+01  1.405091763921062e+00  0.000000000000000e+00  4.339875379568658e+00 -1.885489027387262e+00  2.421005163690572e+00       22
 7.291199352066269e+01  1.677720287579976e+00  0.000000000000000e+00  5.094062562762967e+00 -2.414195629616483e+00  2.235932710074756e+00       23
 7.622931644861701e+01  1.994189127030622e+00  0.000000000000000e+00  5.921151413608970e+00 -2.747788745092180e+00  2.031054978022692e+00       24
 7.954663937657132e+01  2.362148602966312e+00  0.000000000000000e+00  7.526851260493062e+00 -2.807534923596746e+00  1.791098045436778e+00       25
 8.286396230452566e+01  2.863266771501989e+00  0.000000000000000e+00  9.901949473816988e+00 -2.653684163861308e+00  1.517694559912475e+00       26
 8.618128523247996e+01  3.503059675612135e+00  0.000000000000000e+00  1.214275564833651e+01 -2.317313780916582e+00  1.215892691978065e+00       27
 8.949860816043429e+01  4.258852270214843e+00  0.000000000000000e+00  1.406959151801049e+01 -1.799259179765644e+00  8.884503481245970e-01       28
 9.312693011288432e+01  5.191547607007154e+00  0.000000000000000e+00  1.556647112588386e+01 -1.025591428780989e+00  5.042079786395396e-01       29
 9.675525206533436e+01  6.206217234028074e+00  0.000000000000000e+00  1.623947122365480e+01 -3.666929888837277e-02  9.620000000000023e-02       30
