# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
4.000000000000000000e+00	6.000000000000000000e+00	4.049302450713613943e+00	3.875109723495900398e+05	4.104989113872775924e+05	2.294834668664470664e+05	6.533293088112715632e+05	5.177985705201926641e+06	3.251078849823980099e-01	3.443939459559300920e-01	7.701137761237148993e-01	2.228565231317290035e-02
4.514652562416737069e+00	6.000000000000000000e+00	3.658384846112543887e+00	6.446928924657666357e+05	6.829373860866172472e+05	2.946834653610200621e+05	1.086928608179433271e+06	6.515630921176846139e+06	3.761866281728494799e-01	3.985027840814083788e-01	7.763017654755549612e-01	2.910486199385945230e-02
5.000795687685901214e+00	6.000000000000000000e+00	3.120462077815236768e+00	9.379747990253956523e+05	9.936173718489360763e+05	3.644185436334751430e+05	1.581391162717360537e+06	7.949338067342766561e+06	4.027145387029598678e-01	4.266043842192371871e-01	7.824304039822392864e-01	3.451232969971257392e-02
5.457350016496635092e+00	6.000000000000000000e+00	2.541652659627263056e+00	1.257928477776102256e+06	1.332551353576379595e+06	4.337479679678085959e+05	2.120821348454767838e+06	9.384586812409821898e+06	4.155602463717867345e-01	4.402121253938419132e-01	7.819829934195648979e-01	3.886455152286576870e-02
5.883301884065675225e+00	6.000000000000000000e+00	1.929908027860867792e+00	1.604119995167329907e+06	1.699279655897595221e+06	5.029801679803369334e+05	2.704487569315972738e+06	1.081084089746690355e+07	4.229576890723203419e-01	4.480483994410173199e-01	7.802469277997486907e-01	4.264380164393096612e-02
6.277705570726650031e+00	6.000000000000000000e+00	1.313830789345287853e+00	1.969504269170393469e+06	2.086339268188976217e+06	5.704071289605346974e+05	3.320512074990030844e+06	1.219484400254061259e+07	4.274423707763396196e-01	4.527991215851055462e-01	7.771530060612630297e-01	4.598501893154532949e-02
6.639685401664254805e+00	6.000000000000000000e+00	7.121529476618257970e-01	2.340111432460139040e+06	2.478931602182350587e+06	6.337332806180053158e+05	3.945342180740329437e+06	1.350796669768263586e+07	4.292571166453506004e-01	4.547215218700748074e-01	7.718536866177868605e-01	4.884305982247964806e-02
6.968437691131316392e+00	6.046066369719535594e+00	0.000000000000000000e+00	2.708595629552954808e+06	2.869275031306096353e+06	7.025581607382347574e+05	4.531799120925310999e+06	1.496649995325059071e+07	4.297950236450621131e-01	4.552913386070573387e-01	7.768459631292187195e-01	5.093461180114311482e-02
7.263232526832140046e+00	6.301840938008511195e+00	0.000000000000000000e+00	3.067098714744117111e+06	3.249045248669615947e+06	7.632579499982058769e+05	4.923338593357945792e+06	1.625957922254138067e+07	4.297950236450621131e-01	4.552913386070573387e-01	7.768459631292184975e-01	5.093461180114313563e-02
7.523415390510342249e+00	6.527584918479794496e+00	0.000000000000000000e+00	3.408654893083358184e+06	3.610863234198472928e+06	8.189200852226943243e+05	5.282383053412473761e+06	1.744534204018449783e+07	4.297950236450620576e-01	4.552913386070572832e-01	7.768459631292184975e-01	5.093461180114311482e-02
